"prod","mat","dest","EM.mean","EM.sd","M.mean","M.sd","EM.percap.mean","EM.percap.sd"
"Pre-consumer processes","LDPE","Soil",0,0,6.96285039777571,1.8741880071172,0,0
"Pre-consumer processes","LDPE","Soil (MP)",0.000278252477144776,0.000257000385298442,6.96285039777571,1.8741880071172,0.444416102565014,0.410472930067083
"Pre-consumer processes","LDPE","Fresh water",0,0,6.96285039777571,1.8741880071172,0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",1.13776328060733e-06,8.06630354613067e-07,6.96285039777571,1.8741880071172,0.00181719971731288,0.00128832462548485
"Pre-consumer processes","LDPE","Subsurface soil (MP)",0,0,6.96285039777571,1.8741880071172,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0,6.96285039777571,1.8741880071172,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",0,0,6.96285039777571,1.8741880071172,0,0
"Pre-consumer processes","HDPE","Soil",0,0,9.68457860087761,2.41920076691226,0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.00039136280901249,0.000354038853697744,9.68457860087761,2.41920076691226,0.62507236612931,0.565459718926676
"Pre-consumer processes","HDPE","Fresh water",0,0,9.68457860087761,2.41920076691226,0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",2.17409301222788e-06,1.39326240719924e-06,9.68457860087761,2.41920076691226,0.00347239296132277,0.00222527488420406
"Pre-consumer processes","HDPE","Subsurface soil (MP)",1.3960312196014e-06,1.4438473166907e-06,9.68457860087761,2.41920076691226,0.00222969714426488,0.002306067510223
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0,9.68457860087761,2.41920076691226,0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",0,0,9.68457860087761,2.41920076691226,0,0
"Pre-consumer processes","PP","Soil",0,0,14.7764088909321,3.05835598272372,0,0
"Pre-consumer processes","PP","Soil (MP)",0.000558909339226238,0.000487945043973103,14.7764088909321,3.05835598272372,0.892672413108023,0.779330473293911
"Pre-consumer processes","PP","Fresh water",0,0,14.7764088909321,3.05835598272372,0,0
"Pre-consumer processes","PP","Fresh water (MP)",1.06110868591593e-05,1.12712978084867e-05,14.7764088909321,3.05835598272372,0.0169476941025498,0.0180021622603236
"Pre-consumer processes","PP","Subsurface soil (MP)",2.05017121785123e-05,2.1414601670311e-05,14.7764088909321,3.05835598272372,0.03274468969972,0.0342027280761642
"Pre-consumer processes","PP","Coastal and ocean water",0,0,14.7764088909321,3.05835598272372,0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",0,0,14.7764088909321,3.05835598272372,0,0
"Pre-consumer processes","PS","Soil",0,0,3.49412724711228,0.843799263036822,0,0
"Pre-consumer processes","PS","Soil (MP)",0.000139772138427571,0.000128495099035582,3.49412724711228,0.843799263036822,0.223239662210947,0.205228329674084
"Pre-consumer processes","PS","Fresh water",0,0,3.49412724711228,0.843799263036822,0,0
"Pre-consumer processes","PS","Fresh water (MP)",5.73044951896421e-07,4.0010822592918e-07,3.49412724711228,0.843799263036822,0.000915249368952994,0.000639040270894446
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0,3.49412724711228,0.843799263036822,0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0,3.49412724711228,0.843799263036822,0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",0,0,3.49412724711228,0.843799263036822,0,0
"Pre-consumer processes","EPS","Soil",0,0,3.45040643863019,1.19833158305914,0,0
"Pre-consumer processes","EPS","Soil (MP)",0.000137635121197886,0.000127490217376808,3.45040643863019,1.19833158305914,0.219826485523082,0.203623364302657
"Pre-consumer processes","EPS","Fresh water",0,0,3.45040643863019,1.19833158305914,0,0
"Pre-consumer processes","EPS","Fresh water (MP)",5.6962010278456e-07,4.00301357691477e-07,3.45040643863019,1.19833158305914,0.000909779307698608,0.000639348734869187
"Pre-consumer processes","EPS","Subsurface soil (MP)",0,0,3.45040643863019,1.19833158305914,0,0
"Pre-consumer processes","EPS","Coastal and ocean water",0,0,3.45040643863019,1.19833158305914,0,0
"Pre-consumer processes","EPS","Coastal and ocean water (MP)",0,0,3.45040643863019,1.19833158305914,0,0
"Pre-consumer processes","PVC","Soil",0,0,8.28678444186004,2.29805556985957,0,0
"Pre-consumer processes","PVC","Soil (MP)",0.00033999570312718,0.000313182877747691,8.28678444186004,2.29805556985957,0.543030440638324,0.50020583948407
"Pre-consumer processes","PVC","Fresh water",0,0,8.28678444186004,2.29805556985957,0,0
"Pre-consumer processes","PVC","Fresh water (MP)",1.36609091399722e-06,9.61990097846953e-07,8.28678444186004,2.29805556985957,0.00218187743008749,0.00153646031970036
"Pre-consumer processes","PVC","Subsurface soil (MP)",0,0,8.28678444186004,2.29805556985957,0,0
"Pre-consumer processes","PVC","Coastal and ocean water",0,0,8.28678444186004,2.29805556985957,0,0
"Pre-consumer processes","PVC","Coastal and ocean water (MP)",0,0,8.28678444186004,2.29805556985957,0,0
"Pre-consumer processes","PET","Soil",0,0,9.44828746983796,2.52352117098303,0,0
"Pre-consumer processes","PET","Soil (MP)",0.000309033632088726,0.00022959190540587,9.44828746983796,2.52352117098303,0.493578794854444,0.366696968264052
"Pre-consumer processes","PET","Fresh water",0,0,9.44828746983796,2.52352117098303,0,0
"Pre-consumer processes","PET","Fresh water (MP)",1.80790740867914e-05,2.28263968838052e-05,9.44828746983796,2.52352117098303,0.0288753283567553,0.0364576029755332
"Pre-consumer processes","PET","Subsurface soil (MP)",4.14401910447473e-05,4.27575749628203e-05,9.44828746983796,2.52352117098303,0.0661869694122216,0.0682910535607599
"Pre-consumer processes","PET","Coastal and ocean water",0,0,9.44828746983796,2.52352117098303,0,0
"Pre-consumer processes","PET","Coastal and ocean water (MP)",0,0,9.44828746983796,2.52352117098303,0,0
"ConsumerFilms","LDPE","Soil",0.00299748957015813,0.00245756615655009,1.06448052901178,0.453591523205144,4.78749603927458,3.92514734925938
"ConsumerFilms","LDPE","Soil (MP)",0.000404640193162118,0.000326840431538359,1.06448052901178,0.453591523205144,0.646278586381452,0.522019254726595
"ConsumerFilms","LDPE","Fresh water",2.95347254836202e-05,3.06060870181299e-05,1.06448052901178,0.453591523205144,0.0471719343685438,0.0488830793060143
"ConsumerFilms","LDPE","Fresh water (MP)",0,0,1.06448052901178,0.453591523205144,0,0
"ConsumerFilms","LDPE","Subsurface soil (MP)",0,0,1.06448052901178,0.453591523205144,0,0
"ConsumerFilms","LDPE","Coastal and ocean water",0,0,1.06448052901178,0.453591523205144,0,0
"ConsumerFilms","LDPE","Coastal and ocean water (MP)",0,0,1.06448052901178,0.453591523205144,0,0
"ConsumerFilms","HDPE","Soil",0.00336846447462485,0.00309055026267996,0.492578031763733,0.211129606254119,5.38000548567476,4.93612964964506
"ConsumerFilms","HDPE","Soil (MP)",0.000186945211539013,0.00015175717552974,0.492578031763733,0.211129606254119,0.298583010501404,0.242381786416625
"ConsumerFilms","HDPE","Fresh water",3.90306682344993e-05,4.10831558997161e-05,0.492578031763733,0.211129606254119,0.0623385553842137,0.0656167241110417
"ConsumerFilms","HDPE","Fresh water (MP)",0,0,0.492578031763733,0.211129606254119,0,0
"ConsumerFilms","HDPE","Subsurface soil (MP)",0,0,0.492578031763733,0.211129606254119,0,0
"ConsumerFilms","HDPE","Coastal and ocean water",0,0,0.492578031763733,0.211129606254119,0,0
"ConsumerFilms","HDPE","Coastal and ocean water (MP)",0,0,0.492578031763733,0.211129606254119,0,0
"ConsumerFilms","PP","Soil",0.00801371148226138,0.00710467673141588,1.68957355420409,0.722143885387837,12.7992478650031,11.3473661595378
"ConsumerFilms","PP","Soil (MP)",0.000643864270755207,0.000517469781953531,1.68957355420409,0.722143885387837,1.02835975703107,0.826486455936567
"ConsumerFilms","PP","Fresh water",8.57411420797661e-05,8.55677877888459e-05,1.68957355420409,0.722143885387837,0.136943054680289,0.136666178660624
"ConsumerFilms","PP","Fresh water (MP)",0,0,1.68957355420409,0.722143885387837,0,0
"ConsumerFilms","PP","Subsurface soil (MP)",0,0,1.68957355420409,0.722143885387837,0,0
"ConsumerFilms","PP","Coastal and ocean water",0,0,1.68957355420409,0.722143885387837,0,0
"ConsumerFilms","PP","Coastal and ocean water (MP)",0,0,1.68957355420409,0.722143885387837,0,0
"ConsumerFilms","PS","Soil",0.000376467220332588,0.000339826576633683,0.0751906245949001,0.0322822058426224,0.601281600510755,0.542760317123695
"ConsumerFilms","PS","Soil (MP)",2.87508242040498e-05,2.28655895922821e-05,0.0751906245949001,0.0322822058426224,0.0459199119066515,0.0365202003364948
"ConsumerFilms","PS","Fresh water",4.06725597092219e-06,4.16295127243886e-06,0.0751906245949001,0.0322822058426224,0.00649609327930994,0.00664893480428115
"ConsumerFilms","PS","Fresh water (MP)",0,0,0.0751906245949001,0.0322822058426224,0,0
"ConsumerFilms","PS","Subsurface soil (MP)",0,0,0.0751906245949001,0.0322822058426224,0,0
"ConsumerFilms","PS","Coastal and ocean water",0,0,0.0751906245949001,0.0322822058426224,0,0
"ConsumerFilms","PS","Coastal and ocean water (MP)",0,0,0.0751906245949001,0.0322822058426224,0,0
"ConsumerFilms","EPS","Soil",0,0,0,0,0,0
"ConsumerFilms","EPS","Soil (MP)",0,0,0,0,0,0
"ConsumerFilms","EPS","Fresh water",0,0,0,0,0,0
"ConsumerFilms","EPS","Fresh water (MP)",0,0,0,0,0,0
"ConsumerFilms","EPS","Subsurface soil (MP)",0,0,0,0,0,0
"ConsumerFilms","EPS","Coastal and ocean water",0,0,0,0,0,0
"ConsumerFilms","EPS","Coastal and ocean water (MP)",0,0,0,0,0,0
"ConsumerFilms","PVC","Soil",0.000811218339199616,0.000719870639929351,0.162602910782949,0.0688234627827959,1.29565241012671,1.14975473868622
"ConsumerFilms","PVC","Soil (MP)",6.22962853240059e-05,4.93333883482511e-05,0.162602910782949,0.0688234627827959,0.0994976670542557,0.078793735822336
"ConsumerFilms","PVC","Fresh water",8.74336062326995e-06,9.11398654110433e-06,0.162602910782949,0.0688234627827959,0.0139646205179777,0.0145565725739079
"ConsumerFilms","PVC","Fresh water (MP)",0,0,0.162602910782949,0.0688234627827959,0,0
"ConsumerFilms","PVC","Subsurface soil (MP)",0,0,0.162602910782949,0.0688234627827959,0,0
"ConsumerFilms","PVC","Coastal and ocean water",0,0,0.162602910782949,0.0688234627827959,0,0
"ConsumerFilms","PVC","Coastal and ocean water (MP)",0,0,0.162602910782949,0.0688234627827959,0,0
"ConsumerFilms","PET","Soil",0.000916965247178913,0.000815457477932127,0.183343235926293,0.0787394845212563,1.4645480447126,1.30242302914533
"ConsumerFilms","PET","Soil (MP)",7.01969960082466e-05,5.71932650873023e-05,0.183343235926293,0.0787394845212563,0.112116433599709,0.0913472836751842
"ConsumerFilms","PET","Fresh water",9.84167518509915e-06,1.01048976419803e-05,0.183343235926293,0.0787394845212563,0.0157188139827301,0.0161392246097802
"ConsumerFilms","PET","Fresh water (MP)",0,0,0.183343235926293,0.0787394845212563,0,0
"ConsumerFilms","PET","Subsurface soil (MP)",0,0,0.183343235926293,0.0787394845212563,0,0
"ConsumerFilms","PET","Coastal and ocean water",0,0,0.183343235926293,0.0787394845212563,0,0
"ConsumerFilms","PET","Coastal and ocean water (MP)",0,0,0.183343235926293,0.0787394845212563,0,0
"ConsumerBags","LDPE","Soil",0.00031657273203386,0.00027216852262318,0.0871670031094659,0.0374650910323559,0.50562000810381,0.434699001806684
"ConsumerBags","LDPE","Soil (MP)",3.32401130398545e-05,2.69770295269515e-05,0.0871670031094659,0.0374650910323559,0.0530900628004345,0.0430868628526572
"ConsumerBags","LDPE","Fresh water",3.27035979572437e-06,3.34050798907534e-06,0.0871670031094659,0.0374650910323559,0.00522331577894608,0.00533535426647695
"ConsumerBags","LDPE","Fresh water (MP)",0,0,0.0871670031094659,0.0374650910323559,0,0
"ConsumerBags","LDPE","Subsurface soil (MP)",0,0,0.0871670031094659,0.0374650910323559,0,0
"ConsumerBags","LDPE","Coastal and ocean water",0,0,0.0871670031094659,0.0374650910323559,0,0
"ConsumerBags","LDPE","Coastal and ocean water (MP)",0,0,0.0871670031094659,0.0374650910323559,0,0
"ConsumerBags","HDPE","Soil",0.000734559757945577,0.000664466671024105,0.125199694365943,0.0538362778600515,1.1732157358564,1.06126526258106
"ConsumerBags","HDPE","Soil (MP)",4.78727433826346e-05,3.96900496528185e-05,0.125199694365943,0.0538362778600515,0.0764608396357092,0.0633916986411584
"ConsumerBags","HDPE","Fresh water",8.33446330712142e-06,8.61307265618751e-06,0.125199694365943,0.0538362778600515,0.013311542588693,0.0137565286758635
"ConsumerBags","HDPE","Fresh water (MP)",0,0,0.125199694365943,0.0538362778600515,0,0
"ConsumerBags","HDPE","Subsurface soil (MP)",0,0,0.125199694365943,0.0538362778600515,0,0
"ConsumerBags","HDPE","Coastal and ocean water",0,0,0.125199694365943,0.0538362778600515,0,0
"ConsumerBags","HDPE","Coastal and ocean water (MP)",0,0,0.125199694365943,0.0538362778600515,0,0
"ConsumerBags","PP","Soil",0,0,0,0,0,0
"ConsumerBags","PP","Soil (MP)",0,0,0,0,0,0
"ConsumerBags","PP","Fresh water",0,0,0,0,0,0
"ConsumerBags","PP","Fresh water (MP)",0,0,0,0,0,0
"ConsumerBags","PP","Subsurface soil (MP)",0,0,0,0,0,0
"ConsumerBags","PP","Coastal and ocean water",0,0,0,0,0,0
"ConsumerBags","PP","Coastal and ocean water (MP)",0,0,0,0,0,0
"ConsumerBags","PS","Soil",0,0,0,0,0,0
"ConsumerBags","PS","Soil (MP)",0,0,0,0,0,0
"ConsumerBags","PS","Fresh water",0,0,0,0,0,0
"ConsumerBags","PS","Fresh water (MP)",0,0,0,0,0,0
"ConsumerBags","PS","Subsurface soil (MP)",0,0,0,0,0,0
"ConsumerBags","PS","Coastal and ocean water",0,0,0,0,0,0
"ConsumerBags","PS","Coastal and ocean water (MP)",0,0,0,0,0,0
"ConsumerBags","EPS","Soil",0,0,0,0,0,0
"ConsumerBags","EPS","Soil (MP)",0,0,0,0,0,0
"ConsumerBags","EPS","Fresh water",0,0,0,0,0,0
"ConsumerBags","EPS","Fresh water (MP)",0,0,0,0,0,0
"ConsumerBags","EPS","Subsurface soil (MP)",0,0,0,0,0,0
"ConsumerBags","EPS","Coastal and ocean water",0,0,0,0,0,0
"ConsumerBags","EPS","Coastal and ocean water (MP)",0,0,0,0,0,0
"ConsumerBags","PVC","Soil",0,0,0,0,0,0
"ConsumerBags","PVC","Soil (MP)",0,0,0,0,0,0
"ConsumerBags","PVC","Fresh water",0,0,0,0,0,0
"ConsumerBags","PVC","Fresh water (MP)",0,0,0,0,0,0
"ConsumerBags","PVC","Subsurface soil (MP)",0,0,0,0,0,0
"ConsumerBags","PVC","Coastal and ocean water",0,0,0,0,0,0
"ConsumerBags","PVC","Coastal and ocean water (MP)",0,0,0,0,0,0
"ConsumerBags","PET","Soil",0,0,0,0,0,0
"ConsumerBags","PET","Soil (MP)",0,0,0,0,0,0
"ConsumerBags","PET","Fresh water",0,0,0,0,0,0
"ConsumerBags","PET","Fresh water (MP)",0,0,0,0,0,0
"ConsumerBags","PET","Subsurface soil (MP)",0,0,0,0,0,0
"ConsumerBags","PET","Coastal and ocean water",0,0,0,0,0,0
"ConsumerBags","PET","Coastal and ocean water (MP)",0,0,0,0,0,0
"ConsumerBottles","LDPE","Soil",0,0,0,0,0,0
"ConsumerBottles","LDPE","Soil (MP)",0,0,0,0,0,0
"ConsumerBottles","LDPE","Fresh water",0,0,0,0,0,0
"ConsumerBottles","LDPE","Fresh water (MP)",0,0,0,0,0,0
"ConsumerBottles","LDPE","Subsurface soil (MP)",0,0,0,0,0,0
"ConsumerBottles","LDPE","Coastal and ocean water",0,0,0,0,0,0
"ConsumerBottles","LDPE","Coastal and ocean water (MP)",0,0,0,0,0,0
"ConsumerBottles","HDPE","Soil",0.000435453958798347,0.000274154255332276,1.85975950404848,0.78962288960184,0.695493363442645,0.437870551617735
"ConsumerBottles","HDPE","Soil (MP)",0.000143826235377736,0.000118567368972436,1.85975950404848,0.78962288960184,0.229714738316291,0.189372071547458
"ConsumerBottles","HDPE","Fresh water",8.37828500532422e-07,6.13438115188287e-07,1.85975950404848,0.78962288960184,0.0013381533226415,0.000979764058578212
"ConsumerBottles","HDPE","Fresh water (MP)",0,0,1.85975950404848,0.78962288960184,0,0
"ConsumerBottles","HDPE","Subsurface soil (MP)",0,0,1.85975950404848,0.78962288960184,0,0
"ConsumerBottles","HDPE","Coastal and ocean water",0,0,1.85975950404848,0.78962288960184,0,0
"ConsumerBottles","HDPE","Coastal and ocean water (MP)",0,0,1.85975950404848,0.78962288960184,0,0
"ConsumerBottles","PP","Soil",6.06284168552815e-05,3.83592181549339e-05,0.261271192877756,0.112703401580633,0.0968338000077966,0.0612661364412112
"ConsumerBottles","PP","Soil (MP)",2.00941948949664e-05,1.61790277998139e-05,0.261271192877756,0.112703401580633,0.0320938159150919,0.0258406342033866
"ConsumerBottles","PP","Fresh water",1.15384753971682e-07,8.56022454553585e-08,0.261271192877756,0.112703401580633,0.000184288898994553,0.000136721213361525
"ConsumerBottles","PP","Fresh water (MP)",0,0,0.261271192877756,0.112703401580633,0,0
"ConsumerBottles","PP","Subsurface soil (MP)",0,0,0.261271192877756,0.112703401580633,0,0
"ConsumerBottles","PP","Coastal and ocean water",0,0,0.261271192877756,0.112703401580633,0,0
"ConsumerBottles","PP","Coastal and ocean water (MP)",0,0,0.261271192877756,0.112703401580633,0,0
"ConsumerBottles","PS","Soil",0,0,0,0,0,0
"ConsumerBottles","PS","Soil (MP)",0,0,0,0,0,0
"ConsumerBottles","PS","Fresh water",0,0,0,0,0,0
"ConsumerBottles","PS","Fresh water (MP)",0,0,0,0,0,0
"ConsumerBottles","PS","Subsurface soil (MP)",0,0,0,0,0,0
"ConsumerBottles","PS","Coastal and ocean water",0,0,0,0,0,0
"ConsumerBottles","PS","Coastal and ocean water (MP)",0,0,0,0,0,0
"ConsumerBottles","EPS","Soil",0,0,0,0,0,0
"ConsumerBottles","EPS","Soil (MP)",0,0,0,0,0,0
"ConsumerBottles","EPS","Fresh water",0,0,0,0,0,0
"ConsumerBottles","EPS","Fresh water (MP)",0,0,0,0,0,0
"ConsumerBottles","EPS","Subsurface soil (MP)",0,0,0,0,0,0
"ConsumerBottles","EPS","Coastal and ocean water",0,0,0,0,0,0
"ConsumerBottles","EPS","Coastal and ocean water (MP)",0,0,0,0,0,0
"ConsumerBottles","PVC","Soil",0,0,0,0,0,0
"ConsumerBottles","PVC","Soil (MP)",0,0,0,0,0,0
"ConsumerBottles","PVC","Fresh water",0,0,0,0,0,0
"ConsumerBottles","PVC","Fresh water (MP)",0,0,0,0,0,0
"ConsumerBottles","PVC","Subsurface soil (MP)",0,0,0,0,0,0
"ConsumerBottles","PVC","Coastal and ocean water",0,0,0,0,0,0
"ConsumerBottles","PVC","Coastal and ocean water (MP)",0,0,0,0,0,0
"ConsumerBottles","PET","Soil",0.0240335868557692,0.0227911848703215,2.98466109755633,1.25534980294183,38.3856888200905,36.4013634553807
"ConsumerBottles","PET","Soil (MP)",0.000232302970133751,0.000188451791082185,2.98466109755633,1.25534980294183,0.37102699555628,0.300989271950183
"ConsumerBottles","PET","Fresh water",0.000284538802869771,0.000292444520193703,2.98466109755633,1.25534980294183,0.454456424242737,0.467083187235593
"ConsumerBottles","PET","Fresh water (MP)",0,0,2.98466109755633,1.25534980294183,0,0
"ConsumerBottles","PET","Subsurface soil (MP)",0,0,2.98466109755633,1.25534980294183,0,0
"ConsumerBottles","PET","Coastal and ocean water",0,0,2.98466109755633,1.25534980294183,0,0
"ConsumerBottles","PET","Coastal and ocean water (MP)",0,0,2.98466109755633,1.25534980294183,0,0
"ConsumerOther","LDPE","Soil",5.41790714613855e-05,3.40972816168884e-05,0.232239301594836,0.0993607418134471,0.0865331084435681,0.0544591054848181
"ConsumerOther","LDPE","Soil (MP)",1.78256593651288e-05,1.44597708244288e-05,0.232239301594836,0.0993607418134471,0.0284705823358411,0.0230946910507912
"ConsumerOther","LDPE","Fresh water",1.0419368359821e-07,7.75933052766388e-08,0.232239301594836,0.0993607418134471,0.000166414873469449,0.000123929586072433
"ConsumerOther","LDPE","Fresh water (MP)",0,0,0.232239301594836,0.0993607418134471,0,0
"ConsumerOther","LDPE","Subsurface soil (MP)",0,0,0.232239301594836,0.0993607418134471,0,0
"ConsumerOther","LDPE","Coastal and ocean water",0,0,0.232239301594836,0.0993607418134471,0,0
"ConsumerOther","LDPE","Coastal and ocean water (MP)",0,0,0.232239301594836,0.0993607418134471,0,0
"ConsumerOther","HDPE","Soil",0.00124805178491254,0.00114724841510203,0.444972444632358,0.191483181803895,1.99334904667012,1.83234907572181
"ConsumerOther","HDPE","Soil (MP)",3.43666788447414e-05,2.85508819158731e-05,0.444972444632358,0.191483181803895,0.0548893782618037,0.0456005703742375
"ConsumerOther","HDPE","Fresh water",1.46541058722406e-05,1.51297376864304e-05,0.444972444632358,0.191483181803895,0.0234050768753005,0.0241647410453635
"ConsumerOther","HDPE","Fresh water (MP)",0,0,0.444972444632358,0.191483181803895,0,0
"ConsumerOther","HDPE","Subsurface soil (MP)",0,0,0.444972444632358,0.191483181803895,0,0
"ConsumerOther","HDPE","Coastal and ocean water",0,0,0.444972444632358,0.191483181803895,0,0
"ConsumerOther","HDPE","Coastal and ocean water (MP)",0,0,0.444972444632358,0.191483181803895,0,0
"ConsumerOther","PP","Soil",0.00331791731926777,0.00287372869659593,2.47277279055362,1.04678143210179,5.2992731593715,4.58982906558603
"ConsumerOther","PP","Soil (MP)",0.00019091480702309,0.000154849886160002,2.47277279055362,1.04678143210179,0.304923123523562,0.247321366537407
"ConsumerOther","PP","Fresh water",3.44018001760777e-05,3.38130366899563e-05,2.47277279055362,1.04678143210179,0.0549454729472834,0.0540051184299774
"ConsumerOther","PP","Fresh water (MP)",0,0,2.47277279055362,1.04678143210179,0,0
"ConsumerOther","PP","Subsurface soil (MP)",0,0,2.47277279055362,1.04678143210179,0,0
"ConsumerOther","PP","Coastal and ocean water",0,0,2.47277279055362,1.04678143210179,0,0
"ConsumerOther","PP","Coastal and ocean water (MP)",0,0,2.47277279055362,1.04678143210179,0,0
"ConsumerOther","PS","Soil",0.00136358151108462,0.00115569431173427,0.955364081794686,0.399056770469115,2.17786949070227,1.84583859611164
"ConsumerOther","PS","Soil (MP)",7.35119404109752e-05,5.86080174385137e-05,0.955364081794686,0.399056770469115,0.117410958510313,0.0936068816218826
"ConsumerOther","PS","Fresh water",1.44286446585385e-05,1.4569053524903e-05,0.955364081794686,0.399056770469115,0.0230449773178724,0.0232692339419126
"ConsumerOther","PS","Fresh water (MP)",0,0,0.955364081794686,0.399056770469115,0,0
"ConsumerOther","PS","Subsurface soil (MP)",0,0,0.955364081794686,0.399056770469115,0,0
"ConsumerOther","PS","Coastal and ocean water",0,0,0.955364081794686,0.399056770469115,0,0
"ConsumerOther","PS","Coastal and ocean water (MP)",0,0,0.955364081794686,0.399056770469115,0,0
"ConsumerOther","EPS","Soil",3.60408023482921e-05,2.26323375183732e-05,0.156019063853079,0.0665247036503767,0.0575632356531016,0.0361476574622482
"ConsumerOther","EPS","Soil (MP)",1.2125778167584e-05,9.87674591123122e-06,0.156019063853079,0.0665247036503767,0.019366911407591,0.0157748278431696
"ConsumerOther","EPS","Fresh water",6.96697908524743e-08,5.17568667237892e-08,0.156019063853079,0.0665247036503767,0.000111274398110988,8.26644392401777e-05
"ConsumerOther","EPS","Fresh water (MP)",0,0,0.156019063853079,0.0665247036503767,0,0
"ConsumerOther","EPS","Subsurface soil (MP)",0,0,0.156019063853079,0.0665247036503767,0,0
"ConsumerOther","EPS","Coastal and ocean water",0,0,0.156019063853079,0.0665247036503767,0,0
"ConsumerOther","EPS","Coastal and ocean water (MP)",0,0,0.156019063853079,0.0665247036503767,0,0
"ConsumerOther","PVC","Soil",0.00050624962144878,0.000448692437081234,0.270376527821515,0.113491665016573,0.808565968568968,0.716637444468421
"ConsumerOther","PVC","Soil (MP)",2.11500541137031e-05,1.7124394709556e-05,0.270376527821515,0.113491665016573,0.0337802010415186,0.0273505444900177
"ConsumerOther","PVC","Fresh water",5.50415752952489e-06,5.64922871037845e-06,0.270376527821515,0.113491665016573,0.00879106724323102,0.00902277036929482
"ConsumerOther","PVC","Fresh water (MP)",0,0,0.270376527821515,0.113491665016573,0,0
"ConsumerOther","PVC","Subsurface soil (MP)",0,0,0.270376527821515,0.113491665016573,0,0
"ConsumerOther","PVC","Coastal and ocean water",0,0,0.270376527821515,0.113491665016573,0,0
"ConsumerOther","PVC","Coastal and ocean water (MP)",0,0,0.270376527821515,0.113491665016573,0,0
"ConsumerOther","PET","Soil",0.00261389790966709,0.00232214943966443,1.27629381281461,0.544881677878809,4.17483550708039,3.70886402931191
"ConsumerOther","PET","Soil (MP)",9.91352066182951e-05,8.04084135719117e-05,1.27629381281461,0.544881677878809,0.158335633178773,0.128425788477246
"ConsumerOther","PET","Fresh water",2.87077567042887e-05,2.89049146192227e-05,1.27629381281461,0.544881677878809,0.0458511258509533,0.0461660202700217
"ConsumerOther","PET","Fresh water (MP)",0,0,1.27629381281461,0.544881677878809,0,0
"ConsumerOther","PET","Subsurface soil (MP)",0,0,1.27629381281461,0.544881677878809,0,0
"ConsumerOther","PET","Coastal and ocean water",0,0,1.27629381281461,0.544881677878809,0,0
"ConsumerOther","PET","Coastal and ocean water (MP)",0,0,1.27629381281461,0.544881677878809,0,0
"AgriculturalPackagingFilms","LDPE","Soil",0.000277812852965225,0.000158697250205741,0.201116649293204,0.086395780233826,0.443713948656182,0.253466255351699
"AgriculturalPackagingFilms","LDPE","Soil (MP)",7.62708649615964e-05,6.11513027661985e-05,0.201116649293204,0.086395780233826,0.121817426005731,0.0976689369345204
"AgriculturalPackagingFilms","LDPE","Fresh water",8.87258204087873e-08,6.63888453875902e-08,0.201116649293204,0.086395780233826,0.000141710089008266,0.000106034175234289
"AgriculturalPackagingFilms","LDPE","Fresh water (MP)",0,0,0.201116649293204,0.086395780233826,0,0
"AgriculturalPackagingFilms","LDPE","Subsurface soil (MP)",0,0,0.201116649293204,0.086395780233826,0,0
"AgriculturalPackagingFilms","LDPE","Coastal and ocean water",0,0,0.201116649293204,0.086395780233826,0,0
"AgriculturalPackagingFilms","LDPE","Coastal and ocean water (MP)",0,0,0.201116649293204,0.086395780233826,0,0
"AgriculturalPackagingFilms","HDPE","Soil",2.02500178538464e-06,1.16406796595642e-06,0.00146047420786765,0.000628552737256435,0.00323426914427646,0.00185921273319687
"AgriculturalPackagingFilms","HDPE","Soil (MP)",5.57085286312169e-07,4.57770472116688e-07,0.00146047420786765,0.000628552737256435,0.000889759093179082,0.000731136596428553
"AgriculturalPackagingFilms","HDPE","Fresh water",6.52588908135477e-10,4.81849410425228e-10,0.00146047420786765,0.000628552737256435,1.04229447337436e-06,7.69594719162233e-07
"AgriculturalPackagingFilms","HDPE","Fresh water (MP)",0,0,0.00146047420786765,0.000628552737256435,0,0
"AgriculturalPackagingFilms","HDPE","Subsurface soil (MP)",0,0,0.00146047420786765,0.000628552737256435,0,0
"AgriculturalPackagingFilms","HDPE","Coastal and ocean water",0,0,0.00146047420786765,0.000628552737256435,0,0
"AgriculturalPackagingFilms","HDPE","Coastal and ocean water (MP)",0,0,0.00146047420786765,0.000628552737256435,0,0
"AgriculturalPackagingFilms","PP","Soil",0.000213240990961973,0.000122773536102655,0.153695956691808,0.0661081451485261,0.340581802120358,0.196090029360199
"AgriculturalPackagingFilms","PP","Soil (MP)",5.87844731552224e-05,4.74525298851323e-05,0.153695956691808,0.0661081451485261,0.0938887111412447,0.0757896878575778
