Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,166000$\pm$69000,308000$\pm$130000,234000$\pm$87000,91500$\pm$38000,30700$\pm$13000,100000$\pm$41000,150000$\pm$46000,1080000$\pm$180000,475000$\pm$140000,122$\pm$40,10,10,10,10,10,10,10,10,10,10
Production to Pre-consumer processes,141000$\pm$18000,118000$\pm$15000,413000$\pm$50000,62900$\pm$7700,122000$\pm$15000,268000$\pm$34000,258000$\pm$33000,1380000$\pm$75000,259000$\pm$24000,184$\pm$17,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Waste collection and recycling,14100$\pm$8800,19500$\pm$13000,37500$\pm$15000,7030$\pm$4400,7110$\pm$4100,17100$\pm$10000,24200$\pm$9400,127000$\pm$26000,33600$\pm$15000,14.1$\pm$6,10,10,10,8,8,10,10,10,10,10
Pre-consumer processes to Storm water and wastewater (MP),2.18$\pm$1.3,2.53$\pm$1.2,18.9$\pm$8.9,0.972$\pm$0.56,1.76$\pm$1.1,3.92$\pm$2.4,13.9$\pm$6.9,44.2$\pm$12,4.71$\pm$1.7,0.00274$\pm$0.0012,2,2,4,1,2,2,4,4,2,2
Pre-consumer processes to ExcludedFlow,294000$\pm$69000,406000$\pm$120000,610000$\pm$97000,147000$\pm$37000,145000$\pm$19000,351000$\pm$52000,385000$\pm$54000,2340000$\pm$190000,700000$\pm$140000,293$\pm$41,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),22.8$\pm$12,26$\pm$16,55.7$\pm$24,10.8$\pm$5.7,14.9$\pm$6.7,34.6$\pm$16,33.1$\pm$14,198$\pm$39,48.9$\pm$20,0.0258$\pm$0.0089,4,4,4,4,4,4,4,6,4,4
Pre-consumer processes to Fresh water (MP),0.166$\pm$0.031,0.148$\pm$0.027,0.462$\pm$0.087,0.0746$\pm$0.014,0.134$\pm$0.025,0.299$\pm$0.058,0.287$\pm$0.055,1.57$\pm$0.13,0.314$\pm$0.041,0.000209$\pm$0.000029,1,1,1,1,1,1,1,2,1,1
Consumer packaging to Waste collection and recycling,56100$\pm$24000,123000$\pm$52000,179000$\pm$75000,43800$\pm$18000,7150$\pm$3000,17400$\pm$7200,147000$\pm$66000,573000$\pm$120000,179000$\pm$57000,50.9$\pm$19,10,10,10,10,8,10,10,10,10,10
Consumer packaging to On-the-go consumption,5470$\pm$3300,10400$\pm$5500,20200$\pm$11000,3110$\pm$1800,0$\pm$0,2480$\pm$1300,55400$\pm$33000,97100$\pm$35000,15900$\pm$6400,3.11$\pm$1.8,8,10,10,8,0,8,10,10,10,8
Consumer packaging to Dumping,80.1$\pm$45,170$\pm$91,256$\pm$140,59.7$\pm$37,9.09$\pm$5.9,25.5$\pm$14,259$\pm$140,859$\pm$220,250$\pm$100,0.0687$\pm$0.037,4,6,6,4,2,4,6,6,6,4
Consumer packaging to Organic waste collection,1540$\pm$750,1420$\pm$630,2880$\pm$1300,348$\pm$160,41.2$\pm$21,284$\pm$130,1360$\pm$620,7870$\pm$1800,2960$\pm$980,0.389$\pm$0.16,8,8,8,6,4,6,8,8,8,6
Non-consumer packaging to Waste collection and recycling,91800$\pm$39000,86100$\pm$36000,65800$\pm$28000,20700$\pm$8800,9180$\pm$3900,545$\pm$230,54900$\pm$23000,329000$\pm$65000,178000$\pm$53000,29.9$\pm$9.7,10,10,10,10,8,6,10,10,10,10
Non-consumer packaging to Litter,3360$\pm$2600,3130$\pm$2300,2390$\pm$1500,754$\pm$590,335$\pm$260,20$\pm$15,2000$\pm$1500,12000$\pm$4100,6490$\pm$3500,1.09$\pm$0.64,8,8,8,6,6,4,8,10,8,8
Non-consumer packaging to Dumping,120$\pm$78,113$\pm$70,86.5$\pm$47,27.4$\pm$18,12$\pm$7.7,0.71$\pm$0.44,71.9$\pm$46,431$\pm$130,233$\pm$110,0.0394$\pm$0.019,6,6,4,4,4,1,4,6,6,4
Construction to Waste collection and recycling,41800$\pm$12000,117000$\pm$48000,62900$\pm$22000,0$\pm$0,126000$\pm$53000,236000$\pm$99000,14500$\pm$6200,599000$\pm$120000,159000$\pm$50000,126$\pm$53,10,10,10,0,10,10,10,10,10,10
Construction to Soil (MP),0.137$\pm$0.063,1.68$\pm$0.98,14.8$\pm$14,0$\pm$0,0$\pm$0,0.522$\pm$0.24,9.42$\pm$9.5,26.6$\pm$17,1.82$\pm$0.99,0$\pm$0,1,2,4,0,0,1,2,4,2,0
Construction to UnintendedCDWaste,839$\pm$650,29.1$\pm$23,0$\pm$0,0$\pm$0,4570$\pm$3500,2440$\pm$1700,0$\pm$0,7880$\pm$4000,868$\pm$650,4.57$\pm$3.5,6,4,0,0,8,8,0,8,6,8
Construction to Soil,0$\pm$0,23.4$\pm$19,402$\pm$290,0$\pm$0,0$\pm$0,0$\pm$0,537$\pm$400,962$\pm$500,23.4$\pm$19,0$\pm$0,0,4,6,0,0,0,6,6,4,0
Construction to Indoor air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,58.3$\pm$37,0$\pm$0,58.3$\pm$37,0$\pm$0,0$\pm$0,0,0,0,0,0,4,0,4,0,0
Construction to Air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,13$\pm$6.1,0$\pm$0,0$\pm$0,13$\pm$6.1,0$\pm$0,0.013$\pm$0.0061,0,0,0,0,4,0,0,4,0,4
Automotive to Waste collection and recycling,6790$\pm$2800,17900$\pm$7200,81000$\pm$29000,3050$\pm$1300,0$\pm$0,21900$\pm$9100,15100$\pm$6500,146000$\pm$32000,24700$\pm$7700,3.05$\pm$1.3,8,10,10,8,0,10,10,10,10,8
Automotive to Soil,3.94$\pm$2,13.5$\pm$6.9,63$\pm$32,0.0838$\pm$0.042,0$\pm$0,4.4$\pm$2.3,0.00298$\pm$0.0015,84.9$\pm$33,17.4$\pm$7.2,0.0000838$\pm$0.000042,2,4,4,1,0,2,1,4,4,1
Automotive to Export,55.4$\pm$24,146$\pm$63,659$\pm$260,24.9$\pm$11,0$\pm$0,179$\pm$81,123$\pm$57,1190$\pm$290,202$\pm$68,0.0249$\pm$0.011,4,6,6,4,0,6,6,8,6,4
Agriculture to Waste collection and recycling,34600$\pm$11000,3290$\pm$1000,15500$\pm$4700,64.9$\pm$27,0$\pm$0,624$\pm$260,1430$\pm$620,55500$\pm$12000,37900$\pm$11000,0.0649$\pm$0.027,10,8,10,4,0,6,8,10,10,4
