Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,78300$\pm$29000,104000$\pm$40000,147000$\pm$54000,34100$\pm$14000,33400$\pm$14000,80400$\pm$34000,89700$\pm$28000,567000$\pm$87000,183000$\pm$49000,67.5$\pm$20,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Waste collection and recycling,3860$\pm$2400,5030$\pm$3200,7430$\pm$4400,1510$\pm$1100,1460$\pm$1100,3490$\pm$2700,5680$\pm$2600,28500$\pm$7200,8890$\pm$4000,2.97$\pm$1.6,8,8,8,8,8,8,8,10,8,8
Pre-consumer processes to Storm water and wastewater (MP),0.944$\pm$0.67,1.09$\pm$0.76,2.3$\pm$1.6,0.0255$\pm$0.021,0.0249$\pm$0.021,0.0601$\pm$0.051,3.75$\pm$2.7,8.2$\pm$3.3,2$\pm$1,0.0000504$\pm$0.00003,1,2,2,1,1,1,2,2,2,1
Pre-consumer processes to ExcludedFlow,74500$\pm$28000,99300$\pm$38000,140000$\pm$52000,32600$\pm$14000,32000$\pm$13000,76900$\pm$32000,84000$\pm$26000,539000$\pm$83000,174000$\pm$47000,64.5$\pm$19,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),2.92$\pm$2.7,3.94$\pm$3.7,5.42$\pm$5,1.42$\pm$1.3,1.41$\pm$1.3,3.34$\pm$3.1,2.44$\pm$2.3,20.9$\pm$8,6.85$\pm$4.6,0.00283$\pm$0.0018,2,2,2,2,2,2,2,4,2,2
Pre-consumer processes to Fresh water (MP),0.00469$\pm$0.0021,0.00632$\pm$0.0028,0.00848$\pm$0.0038,0.00224$\pm$0.001,0.00221$\pm$0.001,0.00532$\pm$0.0024,0.00389$\pm$0.0018,0.0332$\pm$0.0061,0.011$\pm$0.0035,0.00000445$\pm$0.0000014,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,12700$\pm$5300,27300$\pm$11000,39900$\pm$17000,9710$\pm$4100,1590$\pm$670,3840$\pm$1600,32800$\pm$15000,128000$\pm$26000,40100$\pm$12000,11.3$\pm$4.1,10,10,10,8,8,8,10,10,10,10
Consumer packaging to On-the-go consumption,1230$\pm$730,2270$\pm$1200,4460$\pm$2500,685$\pm$390,0$\pm$0,535$\pm$280,12000$\pm$7200,21200$\pm$7700,3500$\pm$1400,0.685$\pm$0.39,8,8,8,6,0,6,10,10,8,6
Consumer packaging to Dumping,9.7$\pm$5.4,20.5$\pm$11,30.9$\pm$17,7.17$\pm$4.4,1.1$\pm$0.72,3.06$\pm$1.7,31.2$\pm$17,104$\pm$27,30.2$\pm$12,0.00828$\pm$0.0044,2,4,4,2,2,2,4,6,4,2
Consumer packaging to Organic waste collection,65$\pm$31,59$\pm$26,121$\pm$57,14.6$\pm$6.8,1.73$\pm$0.86,11.8$\pm$5.5,56.9$\pm$26,330$\pm$74,124$\pm$40,0.0163$\pm$0.0068,4,4,6,4,2,4,4,6,6,4
Non-consumer packaging to Waste collection and recycling,20900$\pm$8700,19400$\pm$8000,14900$\pm$6300,4670$\pm$2000,2090$\pm$870,122$\pm$51,12400$\pm$5300,74500$\pm$14000,40300$\pm$12000,6.76$\pm$2.2,10,10,10,8,8,6,10,10,10,8
Non-consumer packaging to Litter,243$\pm$190,223$\pm$160,170$\pm$110,53.7$\pm$41,24.1$\pm$19,1$\pm$1,143$\pm$110,857$\pm$290,466$\pm$250,0.0778$\pm$0.045,6,6,6,4,4,2,6,6,6,4
Non-consumer packaging to Dumping,14.7$\pm$9.4,13.6$\pm$8.3,10.4$\pm$5.7,3.29$\pm$2.1,1.46$\pm$0.94,0.0852$\pm$0.053,8.73$\pm$5.6,52.2$\pm$15,28.2$\pm$13,0.00475$\pm$0.0023,4,4,4,2,2,1,2,4,4,2
Construction to Waste collection and recycling,9350$\pm$2800,25800$\pm$11000,13900$\pm$4900,0$\pm$0,28200$\pm$12000,52000$\pm$22000,3260$\pm$1400,132000$\pm$27000,35200$\pm$11000,28.2$\pm$12,8,10,10,0,10,10,8,10,10,10
Construction to Soil (MP),0.0298$\pm$0.014,0.403$\pm$0.24,3.21$\pm$3.1,0$\pm$0,0$\pm$0,0.114$\pm$0.053,2.05$\pm$2,5.81$\pm$3.8,0.433$\pm$0.24,0$\pm$0,1,1,2,0,0,1,2,2,1,0
Construction to UnintendedCDWaste,59.6$\pm$46,2.04$\pm$1.6,0$\pm$0,0$\pm$0,321$\pm$250,170$\pm$120,0$\pm$0,553$\pm$280,61.7$\pm$46,0.321$\pm$0.25,4,2,0,0,6,6,0,6,4,6
Construction to Soil,0$\pm$0,1.91$\pm$1.4,28.3$\pm$20,0$\pm$0,0$\pm$0,0$\pm$0,37.5$\pm$28,67.7$\pm$35,1.91$\pm$1.4,0$\pm$0,0,2,4,0,0,0,4,4,2,0
Construction to Indoor air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,12.7$\pm$7.8,0$\pm$0,12.7$\pm$7.8,0$\pm$0,0$\pm$0,0,0,0,0,0,4,0,4,0,0
Construction to Air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,2.85$\pm$1.3,0$\pm$0,0$\pm$0,2.85$\pm$1.3,0$\pm$0,0.00285$\pm$0.0013,0,0,0,0,2,0,0,2,0,2
Automotive to Waste collection and recycling,1490$\pm$630,3970$\pm$1600,18000$\pm$6500,672$\pm$280,0$\pm$0,4850$\pm$2000,3360$\pm$1500,32300$\pm$7200,5450$\pm$1700,0.672$\pm$0.28,8,8,10,6,0,8,8,10,8,6
Automotive to Soil,0.859$\pm$0.44,2.93$\pm$1.5,13.8$\pm$7,0.0182$\pm$0.0094,0$\pm$0,0.969$\pm$0.5,0.000651$\pm$0.00033,18.6$\pm$7.2,3.79$\pm$1.6,0.0000182$\pm$0.0000094,1,2,4,1,0,1,1,4,2,1
Agriculture to Waste collection and recycling,7800$\pm$2600,768$\pm$220,3490$\pm$1100,14.2$\pm$6,0$\pm$0,138$\pm$57,323$\pm$140,12500$\pm$2800,8560$\pm$2600,0.0142$\pm$0.006,8,6,8,4,0,6,6,10,8,4
Agriculture to Dumping,5.55$\pm$2.7,0.541$\pm$0.23,2.46$\pm$1.1,0.00999$\pm$0.0065,0$\pm$0,0.0984$\pm$0.05,0.229$\pm$0.15,8.89$\pm$3,6.09$\pm$2.7,0.00000999$\pm$0.0000065,2,1,2,1,0,1,1,2,2,1
Agriculture to Organic waste collection,41.9$\pm$16,2.09$\pm$0.81,18.7$\pm$6.8,0.0158$\pm$0.0078,0$\pm$0,0.308$\pm$0.14,1.76$\pm$0.9,64.8$\pm$18,44$\pm$16,0.0000158$\pm$0.0000078,4,2,4,1,0,1,2,4,4,1
Agriculture to Soil (MP),145$\pm$73,3.42$\pm$2.8,23.6$\pm$19,0.0145$\pm$0.0089,0$\pm$0,1.02$\pm$0.5,4.04$\pm$3.3,177$\pm$76,149$\pm$73,0.0000145$\pm$0.0000089,6,2,4,1,0,2,2,6,6,1
Agriculture to Soil,17.5$\pm$9.2,7.31$\pm$4.4,4.18$\pm$1.8,0.303$\pm$0.21,0$\pm$0,2.77$\pm$1.7,0.2$\pm$0.14,32.3$\pm$10,24.8$\pm$10,0.000303$\pm$0.00021,4,2,2,1,0,2,1,4,4,1
Hygiene products to Waste collection and recycling,0$\pm$0,193$\pm$140,264$\pm$170,0$\pm$0,0$\pm$0,0$\pm$0,413$\pm$250,869$\pm$360,193$\pm$140,0$\pm$0,0,6,6,0,0,0,6,6,6,0
Hygiene products to Storm water and wastewater,0$\pm$0,110$\pm$77,116$\pm$80,0$\pm$0,0$\pm$0,0$\pm$0,108$\pm$82,334$\pm$150,110$\pm$77,0$\pm$0,0,6,6,0,0,0,6,6,6,0
Hygiene products to Dumping,0$\pm$0,0.209$\pm$0.15,0.262$\pm$0.19,0$\pm$0,0$\pm$0,0$\pm$0,0.36$\pm$0.24,0.831$\pm$0.36,0.209$\pm$0.15,0$\pm$0,0,1,1,0,0,0,1,1,1,0
PCCP to Waste collection and recycling,0$\pm$0,0.169$\pm$0.14,0.000403$\pm$0.00032,0$\pm$0,0$\pm$0,0$\pm$0,0.00088$\pm$0.00072,0.17$\pm$0.14,0.169$\pm$0.14,0$\pm$0,0,1,1,0,0,0,1,1,1,0
PCCP to Storm water and wastewater (MP),0$\pm$0,3.22$\pm$2.1,0.00773$\pm$0.005,0$\pm$0,0$\pm$0,0$\pm$0,0.0168$\pm$0.011,3.25$\pm$2.1,3.22$\pm$2.1,0$\pm$0,0,2,1,0,0,0,1,2,2,0
Clothing to Waste collection and recycling,0$\pm$0,129$\pm$80,2650$\pm$1200,0$\pm$0,0$\pm$0,0$\pm$0,13900$\pm$4900,16700$\pm$5000,129$\pm$80,0$\pm$0,0,6,8,0,0,0,10,10,6,0
Clothing to Storm water and wastewater (MP),0$\pm$0,1$\pm$0.63,20.6$\pm$9.4,0$\pm$0,0$\pm$0,0$\pm$0,108$\pm$39,129$\pm$41,1$\pm$0.63,0$\pm$0,0,2,4,0,0,0,6,6,2,0
Clothing to Dumping,0$\pm$0,0.089$\pm$0.072,1.84$\pm$1.1,0$\pm$0,0$\pm$0,0$\pm$0,9.65$\pm$4.9,11.6$\pm$5.1,0.089$\pm$0.072,0$\pm$0,0,1,2,0,0,0,2,4,1,0
Clothing to Indoor air (MP),0$\pm$0,0.37$\pm$0.4,7.61$\pm$7.2,0$\pm$0,0$\pm$0,0$\pm$0,39.6$\pm$34,47.6$\pm$40,0.37$\pm$0.4,0$\pm$0,0,1,2,0,0,0,4,4,1,0
